,source,target
285,12,460
286,12,13
287,12,718
288,12,241
289,12,26
290,12,58
291,12,1108
292,12,53
293,12,54
294,12,599
295,12,56
296,12,409
297,12,378
298,12,313
299,12,55
300,12,309
301,13,409
302,13,280
303,13,263
304,13,267
305,13,460
306,13,241
307,13,26
308,13,1108
309,13,309
310,13,54
311,13,599
312,13,56
313,13,313
314,13,58
315,13,378
316,13,55
317,13,53
318,14,15
319,14,329
320,14,187
321,14,964
322,14,73
323,15,73
324,15,187
325,16,1548
326,16,1228
327,16,17
328,16,1204
329,16,2139
330,16,2140
331,17,2183
332,17,2184
333,17,2185
334,17,2168
335,17,2139
336,18,19
337,18,95
338,19,320
339,19,516
340,19,1223
341,19,540
342,19,1197
343,19,336
344,19,595
345,19,1572
346,19,1555
347,19,1084
348,19,95
349,20,416
350,20,1543
351,20,298
352,20,273
353,20,1037
354,20,974
355,20,1583
356,20,272
357,20,305
358,20,247
359,20,217
360,20,666
361,20,1546
362,21,392
363,21,642
364,21,387
365,21,154
366,21,542
367,21,295
368,21,301
369,21,308
370,21,438
371,21,130
372,21,719
373,21,477
374,21,94
375,21,613
376,21,98
377,21,100
378,21,101
379,21,807
380,21,748
381,21,242
382,21,383
383,22,609
384,22,610
385,22,140
386,22,46
387,22,23
388,23,140
389,23,46
390,24,269
391,24,1167
392,24,1300
393,24,25
394,24,287
395,24,288
396,24,167
397,24,168
398,24,427
399,24,52
400,24,65
401,24,75
402,24,723
403,24,597
404,24,544
405,24,91
406,24,349
407,24,358
408,24,1519
409,24,1520
410,24,1649
411,24,375
412,24,634
413,24,636
414,25,650
415,25,1300
416,25,155
417,25,287
418,25,288
419,25,807
420,25,168
421,25,427
422,25,49
423,25,308
424,25,52
425,25,319
426,25,320
427,25,65
428,25,75
429,25,715
430,25,723
431,25,341
432,25,544
433,25,91
434,25,349
435,25,353
436,25,167
437,25,749
438,25,375
439,25,634
440,25,597
441,26,267
442,26,1637
443,26,263
444,26,459
445,26,718
446,26,970
447,26,241
448,26,58
449,26,1108
450,26,53
451,26,54
452,26,599
453,26,56
454,26,55
455,26,378
456,26,313
457,26,280
458,26,309
459,27,257
460,27,1413
461,27,523
462,27,66
463,27,274
464,27,917
465,27,922
466,27,923
467,27,28
468,27,517
469,27,674
470,27,931
471,27,932
472,27,198
473,27,39
474,27,936
475,27,174
476,27,175
477,27,176
478,27,179
479,27,948
480,27,182
481,27,185
482,27,189
483,27,190
484,27,191
485,27,64
486,27,194
487,27,67
488,27,1732
489,27,966
490,27,583
491,27,204
492,27,203
493,27,1100
494,27,205
495,27,206
496,27,90
497,27,222
498,27,779
499,27,935
500,27,111
501,27,243
502,28,517
503,28,520
504,28,523
505,28,534
506,28,40
507,28,41
508,28,44
509,28,45
510,28,64
511,28,67
512,28,1100
513,28,79
514,28,1113
515,28,90
516,28,1120
517,28,1121
518,28,111
519,28,628
520,28,174
521,28,175
522,28,176
523,28,177
524,28,178
525,28,179
526,28,180
527,28,181
528,28,182
529,28,183
530,28,184
531,28,185
532,28,186
533,28,188
534,28,189
535,28,190
536,28,191
537,28,194
538,28,197
539,28,198
540,28,203
541,28,204
542,28,205
543,28,206
544,28,209
545,28,212
546,28,222
547,28,234
548,28,1789
549,28,1278
550,28,257
551,28,274
552,28,1822
553,28,1386
554,28,911
555,28,912
556,28,913
557,28,916
558,28,917
559,28,918
560,28,920
561,28,921
562,28,922
563,28,923
564,28,924
565,28,925
566,28,926
567,28,927
568,28,931
569,28,932
570,28,933
571,28,422
572,28,935
573,28,936
574,28,937
575,28,938
576,28,939
577,28,940
578,28,941
579,28,942
580,28,943
581,28,948
582,28,952
583,28,953
584,28,954
585,28,957
586,28,958
587,28,959
588,28,962
589,28,963
590,28,965
591,28,966
592,28,976
593,28,984
594,28,1103
595,28,934
596,29,1088
597,29,967
598,29,1611
599,29,973
600,29,367
601,29,1009
602,29,62
603,29,406
604,29,375
605,29,47
606,29,1052
607,29,61
608,29,30
609,30,61
610,30,1006
611,30,47
612,30,406
613,30,375
614,30,367
615,30,62
616,31,648
617,31,393
618,31,394
619,31,471
620,31,1555
621,31,661
622,31,1438
623,31,32
624,31,1444
625,31,677
626,31,678
627,31,1575
628,31,296
629,31,1577
630,31,307
631,31,1466
632,31,59
633,31,60
634,31,320
635,31,1607
636,31,1879
637,31,294
638,31,368
639,31,1526
640,32,320
641,32,678
642,32,294
643,32,1575
644,32,296
645,32,393
646,32,394
647,32,1607
648,32,307
649,32,368
650,32,677
651,32,1879
652,32,648
653,32,661
654,32,1526
655,32,471
656,32,59
657,32,60
658,32,1438
659,33,34
660,33,837
661,33,582
662,33,844
663,33,684
664,33,883
665,33,887
666,33,568
667,33,857
668,33,793
669,33,671
670,34,582
671,34,2247
672,34,557
673,34,2097
674,34,2196
675,34,887
676,35,162
677,35,163
678,35,36
679,35,606
680,35,607
681,36,162
682,36,163
683,37,38
684,37,774
685,38,774
686,39,257
687,39,643
688,39,1413
689,39,902
690,39,44
691,39,523
692,39,1837
693,39,274
694,39,90
695,39,917
696,39,918
697,39,1689
698,39,920
699,39,921
700,39,156
701,39,1437
702,39,40
703,39,41
704,39,1196
705,39,45
706,39,1848
707,39,569
708,39,321
709,39,66
710,39,67
711,39,334
712,39,463
713,39,462
714,39,412
715,39,482
716,39,484
717,40,643
718,40,1413
719,40,44
720,40,66
721,40,274
722,40,917
723,40,922
724,40,923
725,40,517
726,40,800
727,40,931
728,40,932
729,40,198
730,40,936
731,40,41
732,40,1196
733,40,45
734,40,174
735,40,175
736,40,176
737,40,179
738,40,948
739,40,182
740,40,569
741,40,189
742,40,190
743,40,191
744,40,64
745,40,321
746,40,194
747,40,67
748,40,1732
749,40,966
750,40,204
751,40,203
752,40,1100
753,40,205
754,40,334
755,40,412
756,40,206
757,40,185
758,40,90
759,40,222
760,40,482
761,40,935
762,40,111
763,40,243
764,41,1413
765,41,44
766,41,66
767,41,274
768,41,917
769,41,462
770,41,922
771,41,923
772,41,156
773,41,517
774,41,931
775,41,932
776,41,198
777,41,1196
778,41,45
779,41,174
780,41,175
781,41,176
782,41,179
783,41,948
784,41,182
785,41,1848
786,41,569
787,41,189
788,41,190
789,41,191
790,41,64
791,41,194
792,41,67
793,41,1732
794,41,966
795,41,204
796,41,203
797,41,1100
798,41,205
799,41,206
800,41,463
801,41,412
802,41,334
803,41,185
804,41,90
805,41,222
806,41,484
807,41,935
808,41,658
809,41,111
810,41,936
811,41,243
812,41,250
813,42,43
814,42,335
815,42,337
816,42,114
817,42,115
818,42,374
819,43,335
820,43,337
821,43,114
822,43,115
823,43,374
824,44,1413
825,44,66
826,44,274
827,44,917
828,44,462
829,44,922
830,44,923
831,44,156
832,44,517
833,44,931
834,44,932
835,44,198
836,44,1196
837,44,45
838,44,174
839,44,175
840,44,176
841,44,179
842,44,948
843,44,182
844,44,1848
845,44,569
846,44,189
847,44,190
848,44,191
849,44,64
850,44,194
851,44,67
852,44,966
853,44,204
854,44,203
855,44,1100
856,44,205
857,44,206
858,44,463
859,44,412
860,44,334
861,44,185
862,44,90
863,44,222
864,44,482
865,44,484
866,44,485
867,44,935
868,44,658
869,44,111
870,44,936
871,44,250
872,45,514
873,45,643
874,45,1413
875,45,1196
876,45,66
877,45,334
878,45,274
879,45,917
880,45,409
881,45,922
882,45,923
883,45,412
884,45,542
885,45,517
886,45,931
887,45,932
888,45,198
889,45,174
890,45,175
891,45,176
892,45,313
893,45,179
894,45,52
895,45,182
896,45,185
897,45,948
898,45,189
899,45,702
900,45,191
901,45,64
902,45,321
903,45,578
904,45,67
905,45,667
906,45,966
907,45,194
908,45,204
909,45,203
910,45,1100
911,45,205
912,45,206
913,45,569
914,45,90
915,45,222
916,45,482
917,45,361
918,45,935
919,45,111
920,45,936
921,45,190
922,45,250
923,45,469
924,46,140
925,47,61
926,47,367
927,47,62
928,47,406
929,47,375
930,48,1411
931,48,598
932,48,262
933,48,264
934,48,266
935,48,651
936,48,142
937,48,527
938,48,1586
939,48,404
940,48,149
941,48,157
942,48,341
943,48,422
944,48,807
945,48,553
946,48,301
947,48,49
948,48,50
949,48,51
950,48,308
951,48,350
952,48,52
953,48,1344
954,48,68
955,48,69
956,48,70
957,48,455
958,48,840
959,48,74
960,48,75
961,48,588
962,48,461
963,48,79
964,48,80
965,48,83
966,48,597
967,48,470
968,48,57
969,48,91
970,48,94
971,48,471
972,48,96
973,48,98
974,48,99
975,48,488
976,48,244
977,48,631
978,48,380
979,48,511
980,49,516
981,49,262
982,49,264
983,49,266
984,49,471
985,49,142
986,49,145
987,49,404
988,49,149
989,49,152
990,49,154
991,49,155
992,49,157
993,49,287
994,49,544
995,49,165
996,49,295
997,49,301
998,49,50
999,49,51
1000,49,308
1001,49,94
1002,49,52
1003,49,1344
1004,49,68
1005,49,69
1006,49,70
1007,49,455
1008,49,74
1009,49,75
1010,49,588
1011,49,461
1012,49,79
1013,49,80
1014,49,83
1015,49,341
1016,49,470
1017,49,57
1018,49,91
1019,49,350
1020,49,96
1021,49,98
1022,49,99
1023,49,597
1024,49,485
1025,49,488
1026,49,244
1027,49,511
1028,49,507
1029,49,380
1030,49,639
1031,50,825
1032,50,1411
1033,50,262
1034,50,264
1035,50,266
1036,50,651
1037,50,142
1038,50,527
1039,50,404
1040,50,149
1041,50,152
1042,50,157
1043,50,422
1044,50,295
1045,50,553
1046,50,327
1047,50,301
1048,50,1586
1049,50,51
1050,50,308
1051,50,350
1052,50,52
1053,50,1344
1054,50,68
1055,50,69
1056,50,70
1057,50,455
1058,50,840
1059,50,74
1060,50,75
1061,50,461
1062,50,79
1063,50,80
1064,50,83
1065,50,341
1066,50,57
1067,50,91
1068,50,94
1069,50,96
1070,50,98
1071,50,99
1072,50,488
1073,50,234
1074,50,807
1075,50,495
1076,50,244
1077,50,501
1078,50,631
1079,50,507
1080,50,380
1081,50,597
1082,51,1411
1083,51,470
1084,51,262
1085,51,264
1086,51,266
1087,51,471
1088,51,142
1089,51,527
1090,51,404
1091,51,149
1092,51,287
1093,51,422
1094,51,295
1095,51,553
1096,51,301
1097,51,308
1098,51,94
1099,51,52
1100,51,1344
1101,51,68
1102,51,69
1103,51,70
1104,51,455
1105,51,74
1106,51,75
1107,51,588
1108,51,461
1109,51,79
1110,51,80
1111,51,849
1112,51,83
1113,51,341
1114,51,598
1115,51,57
1116,51,91
1117,51,350
1118,51,98
1119,51,99
1120,51,789
1121,51,488
1122,51,244
1123,51,507
1124,51,380
1125,51,509
1126,51,511
1127,52,1411
1128,52,598
1129,52,262
1130,52,264
1131,52,266
1132,52,527
1133,52,152
1134,52,404
1135,52,149
1136,52,155
1137,52,287
1138,52,288
1139,52,422
1140,52,295
1141,52,553
1142,52,308
1143,52,94
1144,52,57
1145,52,318
1146,52,1344
1147,52,68
1148,52,69
1149,52,70
1150,52,455
1151,52,328
1152,52,74
1153,52,75
1154,52,588
1155,52,461
1156,52,78
1157,52,79
1158,52,80
1159,52,83
1160,52,301
1161,52,470
1162,52,471
1163,52,91
1164,52,350
1165,52,98
1166,52,99
1167,52,488
1168,52,244
1169,52,511
1170,52,507
1171,52,380
1172,52,509
1173,52,341
1174,53,263
1175,53,280
1176,53,171
1177,53,309
1178,53,54
1179,53,55
1180,53,56
1181,53,313
1182,53,58
1183,53,267
1184,53,1095
1185,53,460
1186,53,1108
1187,53,2269
1188,53,241
1189,53,119
1190,53,378
1191,54,263
1192,54,267
1193,54,144
1194,54,280
1195,54,409
1196,54,562
1197,54,55
1198,54,56
1199,54,313
1200,54,58
1201,54,309
1202,54,460
1203,54,1108
1204,54,599
1205,54,2269
1206,54,353
1207,54,241
1208,54,378
1209,55,267
1210,55,56
1211,55,263
1212,55,460
1213,55,718
1214,55,241
1215,55,313
1216,55,58
1217,55,1108
1218,55,599
1219,55,280
1220,55,409
1221,55,378
1222,55,309
1223,56,263
1224,56,267
1225,56,144
1226,56,280
1227,56,409
1228,56,313
1229,56,58
1230,56,309
1231,56,460
1232,56,1108
1233,56,599
1234,56,353
1235,56,241
1236,56,378
1237,57,262
1238,57,264
1239,57,266
1240,57,525
1241,57,142
1242,57,527
1243,57,145
1244,57,404
1245,57,149
1246,57,157
1247,57,422
1248,57,295
1249,57,553
1250,57,301
1251,57,350
1252,57,695
1253,57,308
1254,57,1344
1255,57,68
1256,57,69
1257,57,70
1258,57,455
1259,57,840
1260,57,74
1261,57,75
1262,57,588
1263,57,461
1264,57,79
1265,57,80
1266,57,83
1267,57,341
1268,57,470
1269,57,471
1270,57,91
1271,57,94
1272,57,96
1273,57,98
1274,57,99
1275,57,597
1276,57,789
1277,57,488
1278,57,244
1279,57,631
1280,57,507
1281,57,380
1282,57,511
1283,58,267
1284,58,263
1285,58,460
1286,58,241
1287,58,313
1288,58,599
1289,58,1108
1290,58,409
1291,58,378
1292,58,280
1293,58,309
1294,59,320
1295,59,677
1296,59,294
1297,59,1575
1298,59,296
1299,59,393
1300,59,394
1301,59,1607
1302,59,60
1303,59,678
1304,59,368
1305,59,648
1306,59,307
1307,59,661
1308,59,1526
1309,59,1879
1310,59,471
1311,59,1438
1312,60,648
1313,60,393
1314,60,394
1315,60,471
1316,60,1555
1317,60,661
1318,60,1438
1319,60,1444
1320,60,677
1321,60,294
1322,60,1575
1323,60,296
1324,60,1577
1325,60,307
1326,60,1466
1327,60,320
1328,60,1607
1329,60,1879
1330,60,678
1331,60,368
1332,60,1526
1333,61,1440
1334,61,1071
1335,61,1419
1336,61,1900
1337,61,1903
1338,61,367
1339,61,406
1340,61,375
1341,61,62
1342,61,409
1343,61,1886
1344,62,1440
1345,62,1071
1346,62,1419
1347,62,1903
1348,62,1900
1349,62,367
1350,62,1886
1351,62,406
1352,62,375
1353,62,409
1354,63,64
1355,63,1958
1356,63,1448
1357,63,234
1358,63,1646
1359,63,181
1360,63,694
1361,63,1915
1362,64,257
1363,64,918
1364,64,520
1365,64,2060
1366,64,1453
1367,64,274
1368,64,917
1369,64,534
1370,64,920
1371,64,921
1372,64,197
1373,64,422
1374,64,952
1375,64,953
1376,64,954
1377,64,963
1378,64,965
1379,64,198
1380,64,976
1381,64,978
1382,64,2009
1383,64,613
1384,64,234
1385,64,2042
1386,64,959
1387,65,353
1388,65,737
1389,65,650
1390,65,797
1391,65,2194
1392,65,341
1393,65,375
1394,65,287
1395,65,349
1396,65,597
1397,66,1155
1398,66,1160
1399,66,1196
1400,66,1162
1401,66,1163
1402,66,911
1403,66,912
1404,66,913
1405,66,916
1406,66,1304
1407,66,156
1408,66,90
1409,66,801
1410,66,421
1411,66,1272
1412,66,1161
1413,66,569
1414,66,266
1415,66,321
1416,66,67
1417,66,1477
1418,66,1478
1419,66,1479
1420,66,1480
1421,66,484
1422,66,334
1423,66,1103
1424,66,209
1425,66,212
1426,66,1493
1427,66,1494
1428,66,1113
1429,66,412
1430,66,1871
1431,66,1125
1432,66,1120
1433,66,1121
1434,66,1252
1435,66,1253
1436,66,1260
1437,66,1261
1438,66,112
1439,66,681
1440,66,1656
1441,66,891
1442,66,254
1443,67,1536
1444,67,1539
1445,67,517
1446,67,520
1447,67,534
1448,67,542
1449,67,1059
1450,67,1072
1451,67,569
1452,67,68
1453,67,1100
1454,67,1623
1455,67,111
1456,67,112
1457,67,1155
1458,67,1162
1459,67,156
1460,67,1196
1461,67,174
1462,67,175
1463,67,176
1464,67,177
1465,67,178
1466,67,179
1467,67,180
1468,67,181
1469,67,182
1470,67,183
1471,67,184
1472,67,185
1473,67,186
1474,67,188
1475,67,189
1476,67,190
1477,67,191
1478,67,194
1479,67,197
1480,67,198
1481,67,203
1482,67,204
1483,67,205
1484,67,206
1485,67,209
1486,67,1234
1487,67,212
1488,67,1241
1489,67,222
1490,67,1252
1491,67,1253
1492,67,234
1493,67,1260
1494,67,1261
1495,67,1272
1496,67,257
1497,67,274
1498,67,1304
1499,67,1830
1500,67,1835
1501,67,1848
1502,67,321
1503,67,334
1504,67,1871
1505,67,1882
1506,67,863
1507,67,891
1508,67,911
1509,67,912
1510,67,913
1511,67,916
1512,67,917
1513,67,918
1514,67,920
1515,67,921
1516,67,922
1517,67,923
1518,67,412
1519,67,925
1520,67,926
1521,67,927
1522,67,931
1523,67,932
1524,67,421
1525,67,934
1526,67,935
1527,67,936
1528,67,924
1529,67,938
1530,67,939
1531,67,940
1532,67,941
1533,67,942
1534,67,943
1535,67,948
1536,67,952
1537,67,953
1538,67,954
1539,67,959
1540,67,963
1541,67,965
1542,67,966
1543,67,462
1544,67,463
1545,67,976
1546,67,1493
1547,67,1494
1548,67,933
1549,67,482
1550,67,484
1551,67,422
1552,67,937
1553,68,512
1554,68,1411
1555,68,517
1556,68,264
1557,68,651
1558,68,597
1559,68,145
1560,68,274
1561,68,149
1562,68,922
1563,68,923
1564,68,157
1565,68,931
1566,68,932
1567,68,70
1568,68,935
1569,68,936
1570,68,1586
1571,68,174
1572,68,175
1573,68,176
1574,68,179
1575,68,94
1576,68,182
1577,68,948
1578,68,189
1579,68,190
1580,68,191
1581,68,194
1582,68,69
1583,68,966
1584,68,455
1585,68,840
1586,68,204
1587,68,203
1588,68,1100
1589,68,205
1590,68,206
1591,68,79
1592,68,80
1593,68,341
1594,68,185
1595,68,90
1596,68,91
1597,68,222
1598,68,96
1599,68,99
1600,68,111
1601,68,244
1602,68,631
1603,68,917
1604,69,262
1605,69,266
1606,69,157
1607,69,287
1608,69,295
1609,69,301
1610,69,74
1611,69,75
1612,69,461
1613,69,78
1614,69,79
1615,69,83
1616,69,341
1617,69,91
1618,69,98
1619,69,627
1620,69,244
1621,70,515
1622,70,262
1623,70,264
1624,70,145
1625,70,1411
1626,70,149
1627,70,152
1628,70,422
1629,70,173
1630,70,558
1631,70,695
1632,70,455
1633,70,840
1634,70,74
1635,70,75
1636,70,79
1637,70,80
1638,70,341
1639,70,91
1640,70,94
1641,70,96
1642,70,1586
1643,70,99
1644,70,785
1645,70,491
1646,70,244
1647,70,631
1648,70,760
1649,70,511
1650,70,380
1651,70,597
1652,71,72
1653,71,1424
1654,71,1523
1655,71,1414
1656,71,646
1657,72,320
1658,72,612
1659,72,646
1660,72,1414
1661,72,589
1662,72,1424
1663,72,914
1664,72,1523
1665,74,262
1666,74,264
1667,74,266
1668,74,404
1669,74,149
1670,74,154
1671,74,157
1672,74,295
1673,74,301
1674,74,94
1675,74,1344
1676,74,455
1677,74,75
1678,74,461
1679,74,79
1680,74,80
1681,74,83
1682,74,341
1683,74,471
1684,74,91
1685,74,350
1686,74,98
1687,74,99
1688,74,244
1689,74,380
1690,74,511
1691,75,262
1692,75,264
1693,75,266
1694,75,404
1695,75,149
1696,75,154
1697,75,155
1698,75,288
1699,75,165
1700,75,301
1701,75,94
1702,75,1344
1703,75,544
1704,75,455
1705,75,588
1706,75,79
1707,75,80
1708,75,83
1709,75,341
1710,75,470
1711,75,91
1712,75,350
1713,75,96
1714,75,98
1715,75,110
1716,75,244
1717,75,758
1718,75,507
1719,75,380
1720,75,511
1721,76,424
1722,76,1129
1723,76,77
1724,76,272
1725,76,1048
1726,76,1471
1727,77,1274
1728,77,363
1729,77,1614
1730,78,98
1731,78,295
1732,78,495
1733,78,287
1734,78,341
1735,78,154
1736,78,155
1737,78,670
1738,78,639
1739,79,1411
1740,79,598
1741,79,262
1742,79,264
1743,79,266
1744,79,527
1745,79,404
1746,79,149
1747,79,932
1748,79,198
1749,79,422
1750,79,1320
1751,79,553
1752,79,175
1753,79,1586
1754,79,94
1755,79,191
1756,79,1344
1757,79,455
1758,79,840
1759,79,1100
1760,79,205
1761,79,461
1762,79,80
1763,79,83
1764,79,301
1765,79,470
1766,79,471
1767,79,91
1768,79,1244
1769,79,222
1770,79,96
1771,79,99
1772,79,350
1773,79,488
1774,79,244
1775,79,511
1776,79,380
1777,79,341
1778,80,1411
1779,80,262
1780,80,264
1781,80,266
1782,80,527
1783,80,404
1784,80,149
1785,80,422
1786,80,553
1787,80,301
1788,80,350
1789,80,1344
1790,80,455
1791,80,598
1792,80,94
1793,80,96
1794,80,99
1795,80,870
1796,80,488
1797,80,244
1798,80,380
1799,81,353
1800,81,82
1801,81,564
1802,81,370
1803,81,657
1804,82,1285
1805,82,806
1806,82,1233
1807,82,1232
1808,82,370
1809,82,371
1810,82,1302
1811,82,1306
1812,83,516
1813,83,262
1814,83,264
1815,83,266
1816,83,525
1817,83,145
1818,83,149
1819,83,152
1820,83,287
1821,83,295
1822,83,301
1823,83,1344
1824,83,588
1825,83,461
1826,83,341
1827,83,470
1828,83,91
1829,83,98
1830,83,244
1831,83,380
1832,83,639
1833,84,1024
1834,84,97
1835,84,834
1836,84,164
1837,84,135
1838,84,682
1839,84,113
1840,84,85
1841,84,153
1842,84,732
1843,85,97
1844,85,164
1845,85,135
1846,85,113
1847,85,153
1848,85,732
1849,86,513
1850,86,646
1851,86,584
1852,86,125
1853,86,136
1854,86,87
1855,86,2296
1856,86,2297
1857,86,1436
1858,86,2173
1859,86,1182
1860,87,620
1861,87,798
1862,88,2083
1863,88,452
1864,88,453
1865,88,139
1866,88,2001
1867,88,696
1868,88,89
1869,88,698
1870,89,139
1871,89,452
1872,89,453
1873,90,1536
1874,90,1539
1875,90,517
1876,90,520
1877,90,523
1878,90,534
1879,90,1059
1880,90,1072
1881,90,583
1882,90,1100
1883,90,1623
1884,90,111
1885,90,112
1886,90,1155
1887,90,1162
1888,90,1689
1889,90,674
1890,90,943
1891,90,174
1892,90,175
1893,90,176
1894,90,177
1895,90,178
1896,90,179
1897,90,180
1898,90,181
1899,90,182
1900,90,183
1901,90,184
1902,90,185
1903,90,186
1904,90,188
1905,90,189
1906,90,190
1907,90,191
1908,90,194
1909,90,197
1910,90,198
1911,90,203
1912,90,204
1913,90,205
1914,90,206
1915,90,209
1916,90,1234
1917,90,212
1918,90,1241
1919,90,222
1920,90,1252
1921,90,1253
1922,90,234
1923,90,1260
1924,90,1261
1925,90,1272
1926,90,257
1927,90,274
1928,90,1304
1929,90,1830
1930,90,1835
1931,90,1837
1932,90,321
1933,90,1871
1934,90,1882
1935,90,863
1936,90,891
1937,90,911
1938,90,912
1939,90,913
1940,90,916
1941,90,917
1942,90,918
1943,90,920
1944,90,921
1945,90,922
1946,90,923
1947,90,924
1948,90,925
1949,90,926
1950,90,927
1951,90,931
1952,90,932
1953,90,933
1954,90,934
1955,90,935
1956,90,936
1957,90,937
1958,90,938
1959,90,939
1960,90,940
1961,90,941
1962,90,942
1963,90,1437
1964,90,948
1965,90,952
1966,90,953
1967,90,954
1968,90,959
1969,90,963
1970,90,965
1971,90,966
1972,90,976
1973,90,1493
1974,90,1494
1975,90,421
1976,90,422
1977,91,516
1978,91,262
1979,91,385
1980,91,392
1981,91,137
1982,91,266
1983,91,661
1984,91,145
1985,91,149
1986,91,154
1987,91,155
1988,91,287
1989,91,288
1990,91,1819
1991,91,295
1992,91,301
1993,91,521
1994,91,319
1995,91,1344
1996,91,585
1997,91,461
1998,91,308
1999,91,471
2000,91,94
2001,91,96
2002,91,98
2003,91,507
2004,91,623
2005,91,499
2006,91,244
2007,91,511
2008,91,639
2009,91,380
2010,91,341
2011,92,265
2012,92,1859
2013,92,93
2014,92,173
2015,92,975
2016,93,265
2017,93,975
2018,94,130
2019,94,262
2020,94,392
2021,94,266
2022,94,527
2023,94,145
2024,94,404
2025,94,152
2026,94,154
2027,94,295
2028,94,553
2029,94,308
2030,94,301
2031,94,1344
2032,94,455
2033,94,461
2034,94,341
2035,94,861
2036,94,350
2037,94,96
2038,94,98
2039,94,99
2040,94,401
2041,94,488
2042,94,487
2043,94,499
2044,94,244
2045,94,511
2046,94,264
2047,94,149
2048,95,336
2049,96,1411
2050,96,455
2051,96,264
2052,96,99
2053,96,173
2054,96,1586
2055,96,244
2056,96,149
2057,96,840
2058,96,695
2059,97,608
2060,97,636
2061,97,419
2062,97,135
2063,97,732
2064,97,682
2065,97,687
2066,97,113
2067,97,291
2068,97,153
2069,97,495
2070,97,1212
2071,97,1109
2072,98,262
2073,98,385
2074,98,392
2075,98,137
2076,98,266
2077,98,130
2078,98,776
2079,98,141
2080,98,401
2081,98,387
2082,98,662
2083,98,1560
2084,98,154
2085,98,155
2086,98,542
2087,98,1553
2088,98,244
2089,98,295
2090,98,301
2091,98,477
2092,98,287
2093,98,383
2094,98,308
2095,98,525
